time_s,time_rel_s,baro_rel_m,baro_amsl_m,Press,Temp,CRt,east_m,north_m,pos_amsl_m,pos_rel_m,gps_amsl_m,gps_rel_m,baro_rel_cal_m,baro_amsl_cal_m,baro_rel_err_m,baro_amsl_err_m,baro_rel_err_roll_m
253.460032,199.924983,20.59978,77.71978,101437.0,20.21,0.06400575,110.2419402059297,67.27293061997902,77.85,19.839999999999996,75.76,17.270000000000003,19.5823645,77.592365,-0.2576354999999957,-0.2576349999999934,-0.33110309999999876
253.560399,200.02535,20.54922,77.66922,101437.6,20.23,-0.0617761,110.23635296040266,67.27293061997902,77.85,19.839999999999996,75.77,17.279999999999994,19.5318045,77.541805,-0.3081954999999965,-0.3081949999999978,-0.33374989999999877
253.660007,200.124958,20.46672,77.58672,101438.6,20.23,0.2927494,110.23076571487562,67.27293061997902,77.85,19.839999999999996,75.77,17.279999999999994,19.4493045,77.459305,-0.3906954999999961,-0.3906949999999938,-0.33581109999999875
253.759905,200.224856,20.2884,77.4084,101440.7,20.25,0.4631448,110.22517846954706,67.28405011277341,77.85,19.839999999999996,75.77,17.279999999999994,19.2709845,77.280985,-0.5690154999999955,-0.5690149999999932,-0.3392032999999987
253.860432,200.325383,20.41615,77.53615,101439.2,20.25,-0.1230438,110.21959122402,67.28405011277341,77.85,19.839999999999996,75.77,17.279999999999994,19.3987345,77.40873500000001,-0.44126549999999654,-0.44126499999998714,-0.3481842999999987
253.959895,200.424846,20.67697,77.79697,101436.1,20.25,-0.4924951,110.20841673316441,67.28405011277341,77.85,19.839999999999996,75.8,17.309999999999995,19.659554500000002,77.669555,-0.18044549999999404,-0.18044499999999175,-0.3487552999999987
254.060364,200.52531499999998,20.38688,77.50687,101439.6,20.26,0.01493152,110.19724224211032,67.29516960556782,77.85,19.839999999999996,75.8,17.309999999999995,19.369464500000003,77.37945500000001,-0.47053549999999333,-0.4705449999999871,-0.34964549999999867
254.160387,200.625338,20.40018,77.52018,101439.4,20.27,0.4610047,110.19165499678178,67.29516960556782,77.85,19.839999999999996,75.81,17.32,19.3827645,77.392765,-0.4572354999999959,-0.45723499999999717,-0.3576150999999987
254.260294,200.72524499999997,20.38421,77.50421,101439.6,20.28,0.0678941,110.18048050572769,67.29516960556782,77.85,19.839999999999996,75.81,17.32,19.3667945,77.376795,-0.4732054999999953,-0.473204999999993,-0.3684058999999986
254.36036,200.825311,20.41349,77.53349,101439.3,20.28,-0.4312249,110.17489326039912,67.30628909836221,77.85,19.839999999999996,75.83,17.339999999999996,19.3960745,77.406075,-0.4439254999999953,-0.443924999999993,-0.3728624999999986
254.460421,200.92537199999998,20.44542,77.56542,101438.9,20.29,-0.3235424,110.16371876934504,67.30628909836221,77.85,19.839999999999996,75.83,17.339999999999996,19.4280045,77.438005,-0.4119954999999962,-0.41199499999999034,-0.3770128999999985
254.560402,201.025353,20.50398,77.62398,101438.1,20.3,0.04000598,110.15813152401648,67.30628909836221,77.85,19.839999999999996,75.86,17.369999999999997,19.4865645,77.496565,-0.35343549999999624,-0.3534349999999904,-0.37450949999999844
254.660377,201.12532800000002,20.63971,77.7597,101436.6,20.3,0.3043985,110.14695703296238,67.30628909836221,77.86,19.85,75.86,17.369999999999997,19.622294500000002,77.632285,-0.227705499999999,-0.22771500000000344,-0.37071569999999837
254.760296,201.22524700000002,20.18994,77.30994,101441.9,20.31,0.3950596,110.14136978763382,67.30628909836221,77.86,19.85,75.88,17.389999999999993,19.1725245,77.182525,-0.6774754999999999,-0.6774750000000012,-0.3733624999999984
254.860815,201.325766,20.34961,77.46961,101440.0,20.32,0.01331805,110.13578254210678,67.30628909836221,77.86,19.85,75.88,17.389999999999993,19.3321945,77.342195,-0.5178055000000015,-0.5178049999999956,-0.37796589999999847
254.960265,201.42521599999998,20.48535,77.60535,101438.4,20.32,-0.5879951,110.1246080512512,67.30628909836221,77.86,19.85,75.9,17.410000000000004,19.467934500000002,77.477935,-0.3820654999999995,-0.3820649999999972,-0.3807062999999985
255.060357,201.525308,20.31768,77.43768,101440.4,20.33,-0.516479,110.11902080572412,67.31740859115662,77.86,19.85,75.9,17.410000000000004,19.3002645,77.310265,-0.5497355000000006,-0.5497349999999983,-0.3895146999999986
255.160783,201.62573400000002,20.41349,77.53349,101439.2,20.33,0.03076315,110.11343356019708,67.31740859115662,77.86,19.85,75.95,17.46,19.3960745,77.406075,-0.4539255000000004,-0.45392499999999814,-0.3924148999999986
255.260791,201.72574200000003,20.52793,77.64793,101437.9,20.33,0.1946044,110.10784631467004,67.31740859115662,77.86,19.85,75.95,17.46,19.510514500000003,77.520515,-0.33948549999999855,-0.33948499999999626,-0.39695209999999853
255.361143,201.826094,20.40551,77.52551,101439.3,20.33,0.1778626,110.10784631467004,67.32852808316093,77.86,19.85,75.97,17.479999999999997,19.3880945,77.398095,-0.4619055000000003,-0.46190500000000156,-0.39884089999999867
255.460701,201.925652,20.29373,77.41373,101440.7,20.35,0.2114997,110.10784631467004,67.32852808316093,77.86,19.85,75.97,17.479999999999997,19.2763145,77.286315,-0.5736854999999998,-0.5736849999999976,-0.40614589999999856
255.561149,202.02609999999999,20.43478,77.55478,101439.0,20.35,-0.05811918,110.10784631467004,67.32852808316093,77.85,19.839999999999996,75.98,17.490000000000002,19.4173645,77.427365,-0.42263549999999483,-0.42263499999999965,-0.4118798999999986
255.660703,202.125654,20.67164,77.79164,101436.2,20.35,-0.2287718,110.1022590693415,67.32852808316093,77.85,19.839999999999996,75.98,17.490000000000002,19.6542245,77.664225,-0.18577549999999476,-0.18577499999999247,-0.40388129999999856
255.760696,202.22564699999998,20.33364,77.45364,101440.2,20.36,0.2004337,110.1022590693415,67.32852808316093,77.85,19.839999999999996,76.02,17.529999999999994,19.3162245,77.326225,-0.5237754999999957,-0.5237750000000005,-0.40764609999999857
255.861068,202.32601899999997,20.76479,77.88479,101435.0,20.37,0.5743358,110.1022590693415,67.32852808316093,77.85,19.839999999999996,76.02,17.529999999999994,19.747374500000003,77.757375,-0.09262549999999337,-0.09262499999999818,-0.40363949999999854
255.960786,202.42573700000003,20.53592,77.65591,101437.8,20.37,0.4693617,110.1022590693415,67.32852808316093,77.86,19.85,76.02,17.529999999999994,19.518504500000002,77.528495,-0.33149549999999905,-0.33150499999999283,-0.3985552999999986
256.060785,202.525736,20.41083,77.53083,101439.3,20.38,0.3081493,110.09667182381443,67.32852808316093,77.86,19.85,76.02,17.529999999999994,19.393414500000002,77.403415,-0.4565854999999992,-0.456585000000004,-0.39613269999999867
